,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiA3B3_rep5,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep3,6803_WT_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA1B1C1_rep4,6803_WT_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_WT_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiA3B3C3_rep5,6803_WT_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep2
0,0.010833333333333334,197.98,184.4,206.59,189.57,185.11,188.2,181.7,197.56,194.81,172.8,176.41,176.0,173.62,205.43,185.89,189.08,179.91,170.79,179.76,173.72,174.97,168.45,191.46,173.56,166.55,176.69,166.71,173.8,171.97,170.84,174.73,174.81,182.11,182.04,185.23,176.88,181.83,171.86,170.51,182.3,182.16,193.76,185.77,179.34
1,0.09416666666666666,170.92,159.5,177.82,162.11,170.07,170.23,161.18,179.7,176.74,154.78,156.94,156.93,156.19,190.8,166.32,174.22,162.08,154.25,159.49,162.59,161.85,157.39,177.09,160.48,151.92,159.49,162.25,156.69,161.04,155.38,159.13,158.68,168.62,171.94,166.92,169.18,175.17,163.46,153.33,166.29,180.34,177.82,164.77,176.43
2,0.1775,170.38,159.38,175.34,161.76,169.89,169.8,160.73,179.18,175.87,153.6,154.45,156.57,155.81,191.21,166.2,174.33,161.37,153.53,158.09,162.12,161.81,157.42,176.6,159.96,151.47,159.09,161.69,156.38,160.46,155.24,158.46,157.97,168.04,171.32,166.38,169.02,175.2,163.07,152.43,165.66,179.97,177.35,164.23,176.26
3,0.2608333333333333,169.21,158.35,175.42,161.49,169.35,169.7,160.39,179.01,174.98,153.33,153.67,156.18,155.91,191.56,166.16,174.26,160.49,153.17,157.22,161.42,161.56,157.45,176.27,159.4,151.04,158.67,161.36,156.14,160.26,154.83,157.98,157.07,167.36,171.19,166.49,168.83,175.06,162.81,152.23,165.81,179.84,177.23,164.09,176.22
4,0.3441666666666667,169.03,158.19,174.08,161.19,169.42,169.12,159.97,178.45,174.28,152.83,153.55,156.02,155.95,191.03,165.86,174.42,160.25,153.0,157.12,161.21,161.45,157.04,175.65,158.88,150.77,158.19,161.19,156.37,159.97,154.56,157.66,156.93,167.4,170.57,166.34,168.66,175.22,162.56,151.94,167.22,179.62,177.2,163.77,176.26
5,0.4275,168.79,158.04,174.25,160.58,169.23,169.27,160.01,178.74,174.45,152.86,153.23,155.51,155.58,191.05,165.9,174.9,160.32,152.62,156.84,161.17,161.18,157.02,174.99,159.12,150.75,157.75,161.07,156.14,159.88,154.1,157.81,156.5,167.04,170.7,166.41,168.66,175.5,162.84,151.86,165.62,179.63,179.05,163.8,176.75
6,0.5108333333333334,168.8,158.01,173.72,160.98,169.34,169.43,159.98,178.75,174.68,152.63,153.34,155.44,155.55,191.15,165.43,174.82,160.51,152.71,157.01,161.48,161.42,156.86,175.14,159.26,150.77,158.13,161.15,155.98,159.95,153.86,158.04,156.65,167.23,170.87,166.41,168.94,175.81,163.01,152.03,165.88,179.91,179.5,163.81,176.7
7,0.5941666666666666,169.55,158.23,173.41,161.06,169.58,169.46,160.16,178.93,174.96,153.02,153.75,155.78,155.71,191.63,165.77,174.88,160.74,152.92,157.04,161.89,161.48,157.31,175.34,159.95,150.92,158.7,161.71,156.26,160.39,154.36,158.37,157.16,167.51,171.37,167.07,169.3,176.15,163.2,152.25,166.02,180.18,178.56,163.91,177.04
8,0.6802777777777778,169.73,158.88,174.07,161.6,170.25,170.04,160.22,178.85,175.48,153.41,154.02,156.21,156.24,191.84,165.86,175.03,161.11,153.4,157.56,161.88,161.55,157.48,175.14,160.3,151.53,158.33,162.02,156.71,160.83,154.52,158.96,157.65,167.72,171.9,167.32,169.54,176.14,163.47,152.79,166.19,180.84,179.25,164.12,177.13
9,0.7636111111111111,170.49,159.28,173.69,161.73,170.96,170.16,160.77,178.81,175.48,153.79,154.32,156.44,156.34,191.88,166.41,174.91,161.64,153.61,157.94,162.55,162.08,157.63,175.65,160.45,151.83,159.31,162.7,156.8,160.78,154.69,159.34,157.71,168.27,172.2,167.21,169.79,175.92,163.75,153.21,166.53,180.85,179.17,164.37,177.04
