,Time(h),6803_WT_rep1,6803_WT_rep2,6803_WT_rep3,6803_WT_rep4,6803_WT_rep5,6803_WT_mean,6803_WT_sd,6803_WT_reg,6803_WT_signal,6803_WT_smoothed,6803_deltaKaiA3_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiA3_rep1,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiA3_reg,6803_deltaKaiA3_signal,6803_deltaKaiA3_smoothed,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiB3_reg,6803_deltaKaiB3_signal,6803_deltaKaiB3_smoothed,6803_deltaKaiC3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiC3_reg,6803_deltaKaiC3_signal,6803_deltaKaiC3_smoothed,6803_deltaKaiA3B3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiA3B3_reg,6803_deltaKaiA3B3_signal,6803_deltaKaiA3B3_smoothed,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiB3C3_reg,6803_deltaKaiB3C3_signal,6803_deltaKaiB3C3_smoothed,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_deltaKaiA3B3C3_rep5,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA3B3C3_mean,6803_deltaKaiA3B3C3_sd,6803_deltaKaiA3B3C3_reg,6803_deltaKaiA3B3C3_signal,6803_deltaKaiA3B3C3_smoothed,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_deltaKaiA1B1C1_reg,6803_deltaKaiA1B1C1_signal,6803_deltaKaiA1B1C1_smoothed,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA3C3_reg,6803_deltaKaiA3C3_signal,6803_deltaKaiA3C3_smoothed
0,0.0108333333333333,197.98,194.81,179.91,173.56,174.73,184.198,10.234794379957028,,,,184.4,172.8,170.79,166.55,171.86,173.28,5.956411671467981,,,,206.59,176.41,179.76,174.81,170.51,181.61599999999999,12.836765324644682,,,,189.57,176.0,176.69,182.11,182.3,181.334,4.886416273712258,,,,185.11,173.72,166.71,182.04,182.16,177.948,6.781567370453529,,,,188.2,205.43,168.45,171.97,176.88,182.18599999999998,13.398878460527959,,,,181.7,185.89,191.46,170.84,185.77,183.132,6.885711001777523,,,,197.56,189.08,181.83,179.34,186.95250000000001,7.092874505445587,,,,173.62,174.97,173.8,185.23,193.76,180.276,8.009430941084386,,,
1,0.0941666666666666,170.92,176.74,162.08,160.48,159.13,165.87,6.819137775408269,,,,159.5,154.78,154.25,151.92,163.46,156.78199999999998,4.148283500437264,,,,177.82,156.94,159.49,158.68,153.33,161.252,8.550671084774569,,,,162.11,156.93,159.49,168.62,166.29,162.68800000000002,4.286697563393056,,,,170.07,162.59,162.25,171.94,180.34,169.438,6.69440781548301,,,,170.23,190.8,157.39,161.04,169.18,169.72799999999998,11.595594680739758,,,,161.18,166.32,177.09,155.38,164.77,164.948,7.142642088191177,,,,179.7,174.22,175.17,176.43,176.38,2.0709055990073497,,,,156.19,161.85,156.69,166.92,177.82,163.894,7.981444981956586,,,
2,0.1775,170.38,175.87,161.37,159.96,158.46,165.20800000000003,6.756257543936581,,,,159.38,153.6,153.53,151.47,163.07,156.20999999999998,4.325981969449247,,,,175.34,154.45,158.09,157.97,152.43,159.656,8.131424475453242,,,,161.76,156.57,159.09,168.04,165.66,162.224,4.1865718672919,,,,169.89,162.12,161.69,171.32,179.97,168.998,6.742193708282192,,,,169.8,191.21,157.42,160.46,169.02,169.582,11.825894300221023,,,,160.73,166.2,176.6,155.24,164.23,164.6,7.060926284843933,,,,179.18,174.33,175.2,176.26,176.2425,1.8285017774123173,,,,155.81,161.81,156.38,166.38,177.35,163.546,7.9093984600600304,,,
3,0.2608333333333333,169.21,174.98,160.49,159.4,157.98,164.412,6.581432670779211,,,,158.35,153.33,153.17,151.04,162.81,155.74,4.273172123844301,,,,175.42,153.67,157.22,157.07,152.23,159.12199999999999,8.374689009151323,,,,161.49,156.18,158.67,167.36,165.81,161.902,4.205212955368614,,,,169.35,161.42,161.36,171.19,179.84,168.632,6.893084650575532,,,,169.7,191.56,157.45,160.26,168.83,169.56,11.980772929990792,,,,160.39,166.16,176.27,154.83,164.09,164.348,7.095661773224539,,,,179.01,174.26,175.06,176.22,176.1375,1.7988937572852919,,,,155.91,161.56,156.14,166.49,177.23,163.466,7.911871080850597,,,
4,0.3441666666666667,169.03,174.28,160.25,158.88,157.66,164.02,6.503073119687339,,,,158.19,152.83,153.0,150.77,162.56,155.46999999999997,4.308758521894673,,,,174.08,153.55,157.12,156.93,151.94,158.72400000000002,7.929576533460034,,,,161.19,156.02,158.19,167.4,167.22,162.00400000000002,4.633377170056415,,,,169.42,161.21,161.19,170.57,179.62,168.402,6.860289789797513,,,,169.12,191.03,157.04,159.97,168.66,169.164,11.915527013103535,,,,159.97,165.86,175.65,154.56,163.77,163.962,6.994030025671896,,,,178.45,174.42,175.22,176.26,176.0875,1.5119751155359655,,,,155.95,161.45,156.37,166.34,177.2,163.462,7.845894212898869,,,
5,0.4275,168.79,174.45,160.32,159.12,157.81,164.098,6.446262172763371,,,,158.04,152.86,152.62,150.75,162.84,155.422,4.42997246041101,,,,174.25,153.23,156.84,156.5,151.86,158.536,8.082995979214637,,,,160.58,155.51,157.75,167.04,165.62,161.3,4.4329448451339895,,,,169.23,161.17,161.07,170.7,179.63,168.35999999999999,6.900515922740851,,,,169.27,191.05,157.02,159.88,168.66,169.176,11.940945691192137,,,,160.01,165.9,174.99,154.1,163.8,163.76,6.900321731629626,,,,178.74,174.9,175.5,176.75,176.4725,1.4694450483090566,,,,155.58,161.18,156.14,166.41,179.05,163.67199999999997,8.630192118371413,,,
6,0.5108333333333334,168.8,174.68,160.51,159.26,158.04,164.25799999999998,6.433333195164082,,,,158.01,152.63,152.71,150.77,163.01,155.426,4.495925266282786,,,,173.72,153.34,157.01,156.65,152.03,158.55,7.820038363077254,,,,160.98,155.44,158.13,167.23,165.88,161.53199999999998,4.480247314602173,,,,169.34,161.48,161.15,170.87,179.91,168.55,6.925330317031817,,,,169.43,191.15,156.86,159.95,168.94,169.26600000000002,11.997827470004728,,,,159.98,165.43,175.14,153.86,163.81,163.644,6.993238448673111,,,,178.75,174.82,175.81,176.7,176.51999999999998,1.4490859187777667,,,,155.55,161.42,155.98,166.41,179.5,163.772,8.811100725789032,,,
7,0.5941666666666666,169.55,174.96,160.74,159.95,158.37,164.714,6.43587010434487,,,,158.23,153.02,152.92,150.92,163.2,155.658,4.481099864988503,,,,173.41,153.75,157.04,157.16,152.25,158.72199999999998,7.584377100329333,,,,161.06,155.78,158.7,167.51,166.02,161.814,4.400216358316942,,,,169.58,161.89,161.71,171.37,180.18,168.946,6.8502163469484705,,,,169.46,191.63,157.31,160.39,169.3,169.61800000000002,12.010804136276638,,,,160.16,165.77,175.34,154.36,163.91,163.908,6.919096472806257,,,,178.93,174.88,176.15,177.04,176.75,1.4742286118509602,,,,155.71,161.48,156.26,167.07,178.56,163.81599999999997,8.440750203625269,,,
8,0.6802777777777778,169.73,175.48,161.11,160.3,158.96,165.116,6.416225058396867,,,,158.88,153.41,153.4,151.53,163.47,156.13799999999998,4.414727171638128,,,,174.07,154.02,157.56,157.65,152.79,159.21800000000002,7.669783308542684,,,,161.6,156.21,158.33,167.72,166.19,162.01,4.414226999147185,,,,170.25,161.88,162.02,171.9,180.84,169.378,7.054905810852474,,,,170.04,191.84,157.48,160.83,169.54,169.946,11.98351801433953,,,,160.22,165.86,175.14,154.52,164.12,163.972,6.807767328574025,,,,178.85,175.03,176.14,177.13,176.7875,1.4035023156375612,,,,156.24,161.55,156.71,167.32,179.25,164.214,8.5172779689288,,,
9,0.7636111111111111,170.49,175.48,161.64,160.45,159.34,165.48,6.369398715734477,,,,159.28,153.79,153.61,151.83,163.75,156.452,4.422317944245978,,,,173.69,154.32,157.94,157.71,153.21,159.374,7.3933878567271165,,,,161.73,156.44,159.31,168.27,166.53,162.456,4.404922700797374,,,,170.96,162.55,162.7,172.2,180.85,169.852,6.814206923773299,,,,170.16,191.88,157.63,160.78,169.79,170.04799999999997,11.973452968964299,,,,160.77,166.41,175.65,154.69,164.37,164.378,6.900175070242785,,,,178.81,174.91,175.92,177.04,176.67,1.4471178251960028,,,,156.34,162.08,156.8,167.21,179.17,164.32,8.415735261995822,,,
