,Time(h),6803_WT_rep1,6803_WT_rep2,6803_WT_rep3,6803_WT_rep4,6803_WT_mean,6803_WT_sd,6803_WT_reg,6803_WT_signal,6803_WT_smoothed,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiA3_reg,6803_deltaKaiA3_signal,6803_deltaKaiA3_smoothed,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiC3_reg,6803_deltaKaiC3_signal,6803_deltaKaiC3_smoothed,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiA3B3_reg,6803_deltaKaiA3B3_signal,6803_deltaKaiA3B3_smoothed,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiB3C3_reg,6803_deltaKaiB3C3_signal,6803_deltaKaiB3C3_smoothed,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA3B3C3_mean,6803_deltaKaiA3B3C3_sd,6803_deltaKaiA3B3C3_reg,6803_deltaKaiA3B3C3_signal,6803_deltaKaiA3B3C3_smoothed,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiB3_reg,6803_deltaKaiB3_signal,6803_deltaKaiB3_smoothed,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA3C3_reg,6803_deltaKaiA3C3_signal,6803_deltaKaiA3C3_smoothed,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_deltaKaiA1B1C1_reg,6803_deltaKaiA1B1C1_signal,6803_deltaKaiA1B1C1_smoothed,6803_Wilde_WT_rep1,6803_Wilde_WT_rep2,6803_Wilde_mean,6803_Wilde_sd,6803_Wilde_reg,6803_Wilde_signal,6803_Wilde_smoothed
0,0.0111111111111111,198.89,189.23,187.27,177.01,188.1,7.7681722431985225,,,,201.06,172.73,180.66,176.35,182.7,10.96556656083032,,,,208.25,175.46,176.85,179.55,185.02750000000003,13.487921216777623,,,,191.17,191.97,189.96,185.61,189.6775,2.454968176983148,,,,176.81,173.27,181.03,173.34,176.1125,3.1794211344205383,,,,197.3,177.1,181.96,188.71,186.2675,7.587481054342085,,,,174.87,170.36,175.55,168.54,172.32999999999998,2.960785368783091,,,,172.78,172.28,175.6,213.21,183.4675,17.218425269170236,,,,180.38,180.61,188.43,190.02,184.86,4.401800767867626,,,,720.12,779.59,749.855,29.735000000000014,,,
1,0.0944444444444444,171.53,171.58,170.35,162.13,168.8975,3.938104715469109,,,,166.44,151.32,159.88,162.12,159.94,5.507050027010834,,,,178.24,156.74,160.03,159.25,163.565,8.559376437568337,,,,162.1,170.5,171.39,168.38,168.0925,3.628438886077592,,,,160.27,157.33,166.93,158.4,160.73250000000002,3.7296271596501427,,,,163.88,153.73,167.66,174.94,165.0525,7.650743019472033,,,,150.92,151.35,158.74,152.71,153.43,3.136120214532607,,,,163.59,161.03,168.71,211.81,176.28500000000003,20.695919283762198,,,,174.17,175.64,185.88,188.78,181.11749999999998,6.3179521009580375,,,,616.1,705.19,660.645,44.545000000000016,,,
2,0.1777777777777777,170.83,171.14,169.1,161.48,168.13750000000002,3.9215199540484336,,,,165.14,150.74,158.96,162.2,159.26,5.382805959720256,,,,178.37,156.4,159.75,158.88,163.35,8.758478749189269,,,,161.51,169.78,170.98,168.39,167.665,3.669880788254573,,,,160.48,157.32,166.56,158.77,160.7825,3.5181698011892504,,,,164.39,153.55,167.5,174.76,165.05,7.631713438016386,,,,150.01,150.26,157.5,152.33,152.525,3.0101536505633764,,,,163.6,161.39,168.69,211.17,176.2125,20.355567266720914,,,,174.38,176.14,186.14,189.16,181.45499999999998,6.3170622127694775,,,,520.89,548.88,534.885,13.995000000000005,,,
3,0.2611111111111111,170.85,170.63,168.22,161.24,167.735,3.889231929314573,,,,164.67,150.04,158.96,161.4,158.76749999999998,5.430834995652143,,,,178.59,156.47,159.37,159.19,163.405,8.84202889613012,,,,161.39,169.59,170.57,168.16,167.4275,3.5895569016244937,,,,160.2,157.23,166.36,158.32,160.52749999999997,3.531001097422665,,,,163.6,153.56,167.42,174.61,164.79749999999999,7.597336293070095,,,,149.3,149.99,157.01,152.02,152.08,3.016827804167807,,,,163.27,160.96,168.12,211.5,175.9625,20.67965954144313,,,,174.55,176.26,186.59,189.42,181.70499999999998,6.407544381430373,,,,353.42,336.09,344.755,8.66500000000002,,,
4,0.3444444444444444,170.8,170.72,167.33,161.09,167.485,3.948876422477665,,,,164.71,150.21,158.63,161.58,158.7825,5.396116080107989,,,,178.08,156.41,159.2,158.75,163.11,8.707591515453636,,,,161.48,169.75,170.85,168.42,167.625,3.6506608990701968,,,,160.18,156.79,166.27,157.92,160.29,3.661946203864833,,,,163.33,153.6,167.31,175.15,164.8475,7.76232044880911,,,,149.3,149.82,157.06,151.99,152.04250000000002,3.0675264872532066,,,,162.88,160.39,167.94,210.68,175.4725,20.508287806396716,,,,174.81,176.47,186.53,189.43,181.81,6.282085640931682,,,,309.03,300.74,304.885,4.144999999999982,,,
5,0.4277777777777777,170.73,170.7,166.34,161.21,167.245,3.9154342032525506,,,,164.91,150.08,158.77,161.86,158.905,5.53829621815229,,,,178.06,156.04,158.92,158.59,162.9025,8.821871612645475,,,,161.52,169.9,171.05,168.52,167.7475,3.705343270197783,,,,159.77,156.0,165.58,157.58,159.73250000000002,3.631785889889439,,,,163.6,153.48,167.05,175.34,164.8675,7.837701751789238,,,,148.89,150.06,156.96,152.18,152.02249999999998,3.0849503642684497,,,,162.7,160.27,167.92,211.33,175.555,20.838822543512393,,,,175.11,176.53,187.03,190.05,182.18,6.468516058571702,,,,307.28,319.38,313.33,6.050000000000011,,,
6,0.5111111111111111,171.01,171.26,164.93,161.67,167.2175,4.084491247389323,,,,165.1,150.24,159.31,161.96,159.1525,5.538778633417294,,,,178.15,156.01,159.19,158.99,163.08499999999998,8.788485364384472,,,,161.67,170.02,171.37,168.84,167.975,3.748643087838593,,,,159.45,155.96,165.63,157.41,159.61249999999998,3.6887828277088874,,,,163.67,153.65,167.39,175.93,165.16,7.9947795466791955,,,,149.18,150.15,157.19,152.34,152.215,3.091993693395893,,,,162.87,160.15,167.87,211.24,175.5325,20.800839376092497,,,,174.89,177.1,186.93,189.78,182.175,6.310168381271619,,,,307.63,322.55,315.09000000000003,7.460000000000008,,,
7,0.5944444444444444,171.78,171.75,165.09,162.43,167.7625,4.111516599747589,,,,165.53,150.44,159.65,162.2,159.45499999999998,5.606890849659908,,,,178.57,156.35,159.35,159.13,163.35,8.866464909985263,,,,162.13,170.48,171.37,169.41,168.3475,3.656134399881931,,,,159.78,156.31,165.49,157.37,159.7375,3.551262979560936,,,,163.94,153.39,167.74,175.41,165.12,7.933060569540616,,,,149.48,150.7,157.65,152.61,152.60999999999999,3.1163520340295383,,,,162.89,160.64,168.46,210.9,175.7225,20.508262206974052,,,,175.25,176.85,187.05,190.09,182.31000000000003,6.376738978506181,,,,326.31,330.53,328.41999999999996,2.109999999999985,,,
8,0.6777777777777777,172.44,172.47,165.36,162.41,168.17,4.410119046012248,,,,165.85,150.97,159.65,162.81,159.82,5.559955035789407,,,,178.77,156.49,159.58,159.06,163.47500000000002,8.907728386070156,,,,162.5,170.72,171.94,169.62,168.695,3.669615102432406,,,,159.91,156.47,165.89,157.79,160.015,3.607086774670104,,,,164.19,153.65,168.31,175.54,165.4225,7.918526930559745,,,,149.59,150.92,157.94,153.11,152.89,3.174972440825275,,,,163.43,161.14,168.6,211.76,176.2325,20.689042238586104,,,,175.12,177.14,187.17,189.43,182.21499999999997,6.178650742678373,,,,324.27,362.21,343.24,18.97,,,
9,0.7638888888888888,172.63,172.58,165.87,162.76,168.46,4.288397136460199,,,,166.37,150.83,160.25,162.94,160.09750000000003,5.773514419311685,,,,179.12,156.74,160.01,159.35,163.805,8.92626041520188,,,,162.82,170.71,171.92,169.68,168.78249999999997,3.532565462946159,,,,160.28,156.46,166.2,158.06,160.25,3.6933589048452826,,,,164.25,153.73,168.09,175.85,165.48000000000002,7.96750274552824,,,,150.39,151.14,158.06,153.08,153.1675,2.9903793655655195,,,,163.79,161.27,169.11,211.65,176.455,20.515990714562143,,,,175.56,176.98,187.06,189.98,182.39499999999998,6.231651065327711,,,,318.28,351.06,334.66999999999996,16.390000000000015,,,
