,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiA3B3_rep5,6803_deltaKaiB3C3_rep1,6803_deltaKaiA1B1C1_rep2,6803_WT_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiA1B1C1_rep3,6803_WT_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep1,6803_WT_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep5,6803_Wilde_WT_rep2,6803_WT_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiB3C3_rep5,6803_Wilde_WT_rep3,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA1B1C1_rep1,6803_Wilde_WT_rep4
0,0.011388888888888888,207.64,200.82,202.72,178.7,202.22,180.8,195.74,227.71,173.91,192.57,180.49,185.28,178.04,190.83,189.87,173.97,192.07,186.81,185.66,180.11,189.56,360.95,183.0,174.6,180.95,187.75,183.29,174.45,192.27,384.99,180.86,180.01,187.25,189.37,184.09,178.33,317.44,181.85,176.54,180.94,198.42,208.89,192.0,524.47
1,0.09444444444444444,179.91,164.66,172.98,162.03,175.48,167.99,181.58,209.85,155.11,170.88,161.34,166.48,163.42,176.69,172.04,155.86,169.92,168.92,169.41,171.82,177.96,291.82,165.31,156.71,164.27,169.19,166.22,162.21,178.83,293.03,165.17,162.5,173.71,172.84,170.9,171.9,306.42,167.46,158.85,170.79,182.43,195.94,187.53,513.95
2,0.17777777777777776,178.02,162.91,168.56,161.61,172.99,167.9,181.37,208.78,153.54,167.17,160.28,165.32,162.91,176.5,170.54,154.34,162.67,165.41,168.63,171.61,178.03,297.26,163.98,153.3,163.58,166.16,165.64,162.11,178.2,296.01,164.69,194.01,173.28,171.51,170.32,171.68,305.8,167.03,155.85,170.26,180.9,195.33,187.42,521.02
3,0.2611111111111111,177.56,162.48,167.71,161.08,172.53,167.9,181.68,207.6,152.98,166.06,159.85,165.36,163.05,176.55,169.96,153.83,162.05,164.65,168.6,171.18,178.33,301.19,163.97,153.03,162.99,165.86,165.78,161.01,178.16,295.47,164.02,192.97,172.93,170.87,170.56,171.83,302.81,166.67,155.29,169.95,180.26,196.0,187.07,523.53
4,0.34444444444444444,177.67,162.21,167.47,161.12,172.59,168.17,182.54,208.11,152.96,165.93,159.77,165.46,162.69,176.26,170.02,153.69,161.42,164.8,168.65,171.08,178.48,305.34,164.33,153.03,162.93,165.86,165.74,161.32,178.33,227.01,164.55,193.16,172.57,170.59,170.45,171.53,229.91,166.42,155.13,169.91,180.59,195.84,187.75,530.42
5,0.42777777777777776,177.41,162.09,167.02,160.77,172.89,167.75,182.88,208.13,153.05,166.33,159.37,165.38,162.46,176.75,169.77,153.51,161.55,164.61,168.53,170.86,178.77,300.73,164.07,153.08,162.63,165.82,165.86,161.25,178.79,217.12,164.49,192.7,172.53,170.79,170.74,171.64,222.7,166.41,155.32,169.69,180.88,196.06,188.14,529.69
6,0.5111111111111111,177.59,162.42,167.51,160.98,172.66,168.31,183.3,208.95,153.12,166.21,159.53,165.64,162.34,176.9,170.51,153.75,161.74,165.13,168.42,171.0,178.98,300.18,164.61,153.9,162.97,166.33,166.61,161.65,179.02,223.7,165.08,193.34,172.56,170.79,170.99,171.86,227.62,166.52,155.58,169.68,181.16,196.46,188.32,441.82
7,0.5944444444444444,178.38,162.88,167.7,161.31,173.13,168.41,183.42,209.53,153.77,166.92,159.74,165.76,162.6,177.04,172.57,154.16,161.97,165.68,169.02,171.36,179.08,301.43,164.99,153.81,163.07,166.68,166.53,162.01,179.2,221.48,165.88,193.52,173.01,171.66,171.28,172.19,226.13,166.85,155.95,170.55,181.94,196.98,188.55,439.93
8,0.6777777777777777,178.98,163.53,168.29,161.97,173.81,168.68,183.44,209.87,154.04,167.2,160.24,166.45,163.07,177.24,172.89,154.48,162.66,165.83,169.74,171.77,179.23,219.42,165.16,154.75,163.57,166.91,166.75,161.78,179.17,221.97,166.07,193.64,173.26,171.71,171.94,172.39,231.05,167.16,156.39,170.63,181.94,197.35,188.29,439.69
9,0.7613888888888889,179.27,163.64,168.65,162.12,174.22,169.0,182.97,210.35,154.25,167.23,160.63,166.21,163.3,177.03,173.65,154.62,162.74,166.31,169.46,171.55,178.98,220.26,165.78,154.89,163.69,167.16,167.01,162.45,178.86,229.64,166.36,193.98,173.53,171.99,171.84,172.73,232.61,167.61,156.54,170.53,182.42,197.72,188.48,439.59
10,0.8472222222222222,179.37,163.75,168.92,162.41,174.34,169.24,183.11,210.68,154.52,167.43,160.97,166.95,163.25,177.25,173.45,155.09,162.98,166.42,169.64,172.13,178.85,220.2,165.91,154.96,164.16,167.44,167.13,162.46,178.83,229.18,167.0,194.13,173.71,172.27,172.16,172.5,234.16,167.95,156.84,171.35,182.46,198.11,188.18,439.34
11,0.9305555555555555,179.8,164.12,169.05,162.51,174.9,169.31,183.06,210.7,154.59,167.8,160.96,167.0,163.53,176.82,172.87,155.21,162.97,166.18,169.8,171.97,178.62,220.33,166.22,154.79,163.91,167.77,167.54,162.31,178.46,228.06,167.08,194.3,173.91,172.2,172.41,172.6,233.64,168.41,156.87,171.26,182.42,198.2,188.41,441.29
12,1.0138888888888888,179.67,164.21,169.2,162.85,174.56,169.56,182.69,210.64,155.02,168.03,161.3,166.98,163.75,176.66,173.09,155.2,163.15,166.33,169.91,172.35,178.79,218.44,166.64,155.04,164.54,167.88,167.55,162.62,178.58,228.23,167.26,194.42,174.16,172.32,172.43,172.89,231.02,168.48,157.44,171.18,182.75,198.17,188.46,441.43
