,Time(h),6803_WT_rep1,6803_WT_rep2,6803_WT_rep3,6803_WT_rep4,6803_WT_rep5,6803_WT_mean,6803_WT_sd,6803_WT_reg,6803_WT_signal,6803_WT_smoothed,6803_deltaKaiA3_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiA3_rep1,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiA3_reg,6803_deltaKaiA3_signal,6803_deltaKaiA3_smoothed,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiB3_reg,6803_deltaKaiB3_signal,6803_deltaKaiB3_smoothed,6803_deltaKaiC3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiC3_reg,6803_deltaKaiC3_signal,6803_deltaKaiC3_smoothed,6803_deltaKaiA3B3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiA3B3_reg,6803_deltaKaiA3B3_signal,6803_deltaKaiA3B3_smoothed,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiB3C3_reg,6803_deltaKaiB3C3_signal,6803_deltaKaiB3C3_smoothed,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_rep5,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_deltaKaiA1B1C1_reg,6803_deltaKaiA1B1C1_signal,6803_deltaKaiA1B1C1_smoothed,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA3C3_reg,6803_deltaKaiA3C3_signal,6803_deltaKaiA3C3_smoothed,6803_Wilde_WT_rep1,6803_Wilde_WT_rep2,6803_Wilde_WT_rep3,6803_Wilde_WT_rep4,6803_Wilde_mean,6803_Wilde_sd,6803_Wilde_reg,6803_Wilde_signal,6803_Wilde_smoothed
0,0.0113888888888888,207.64,227.71,189.87,183.0,180.86,197.816,17.66533849095454,,,,200.82,173.91,173.97,174.6,181.85,181.03000000000003,10.336337842775842,,,,202.72,192.57,192.07,180.01,176.54,188.78199999999998,9.44714009634662,,,,178.7,180.49,180.95,187.25,180.94,181.666,2.912075548470543,,,,202.22,186.81,187.75,189.37,198.42,192.914,6.219378103958623,,,,180.8,178.04,180.11,174.45,178.33,178.34600000000003,2.2093673302554375,,,,195.74,190.83,189.56,192.27,192.0,192.08,2.0664462248023794,,,,185.28,185.66,183.29,184.09,208.89,189.442,9.760547935438867,,,,360.95,384.99,317.44,524.47,396.96250000000003,77.49553450844766,,,
1,0.0944444444444444,179.91,209.85,172.04,165.31,165.17,178.45599999999996,16.60239452609171,,,,164.66,155.11,155.86,156.71,167.46,159.96,5.083994492522583,,,,172.98,170.88,169.92,162.5,158.85,167.026,5.403893411236011,,,,162.03,161.34,164.27,173.71,170.79,166.428,4.938454819070434,,,,175.48,168.92,169.19,172.84,182.43,173.772,4.965550926130962,,,,167.99,163.42,171.82,162.21,171.9,167.468,4.0715569503569515,,,,181.58,176.69,177.96,178.83,187.53,180.518,3.855963692775127,,,,166.48,169.41,166.22,170.9,195.94,173.79000000000002,11.215168300119263,,,,291.82,293.03,306.42,513.95,351.305,94.07776052287812,,,
2,0.1777777777777777,178.02,208.78,170.54,163.98,164.69,177.202,16.574636526934764,,,,162.91,153.54,154.34,153.3,167.03,158.224,5.670543536558025,,,,168.56,167.17,162.67,194.01,155.85,169.652,12.960775285452641,,,,161.61,160.28,163.58,173.28,170.26,165.802,5.0753695431958405,,,,172.99,165.41,166.16,171.51,180.9,171.39399999999998,5.5879821044810125,,,,167.9,162.91,171.61,162.11,171.68,167.24200000000002,4.1063823494652825,,,,181.37,176.5,178.03,178.2,187.42,180.30399999999997,3.8946660960857704,,,,165.32,168.63,165.64,170.32,195.33,173.048,11.29644793729428,,,,297.26,296.01,305.8,521.02,355.0225,95.91272865866135,,,
3,0.2611111111111111,177.56,207.6,169.96,163.97,164.02,176.622,16.271337252973396,,,,162.48,152.98,153.83,153.03,166.67,157.79799999999997,5.697815019812414,,,,167.71,166.06,162.05,192.97,155.29,168.81599999999997,12.813788822982842,,,,161.08,159.85,162.99,172.93,169.95,165.35999999999999,5.151085322531552,,,,172.53,164.65,165.86,170.87,180.26,170.834,5.562548336868626,,,,167.9,163.05,171.18,161.01,171.83,166.99400000000003,4.314944263834707,,,,181.68,176.55,178.33,178.16,187.07,180.358,3.748159014769779,,,,165.36,168.6,165.78,170.56,196.0,173.26,11.52799722414956,,,,301.19,295.47,302.81,523.53,355.75,96.90619691227181,,,
4,0.3444444444444444,177.67,208.11,170.02,164.33,164.55,176.936,16.324903185011543,,,,162.21,152.96,153.69,153.03,166.42,157.66199999999998,5.598711994735928,,,,167.47,165.93,161.42,193.16,155.13,168.62199999999999,12.996847925554874,,,,161.12,159.77,162.93,172.57,169.91,165.26,5.055041048300195,,,,172.59,164.8,165.86,170.59,180.59,170.88600000000002,5.647281115722854,,,,168.17,162.69,171.08,161.32,171.53,166.958,4.2276679150567205,,,,182.54,176.26,178.48,178.33,187.75,180.672,4.0827216412584395,,,,165.46,168.65,165.74,170.45,195.84,173.228,11.457660145073252,,,,305.34,227.01,229.91,530.42,323.16999999999996,123.70796720502685,,,
5,0.4277777777777777,177.41,208.13,169.77,164.07,164.49,176.77399999999997,16.40089948752811,,,,162.09,153.05,153.51,153.08,166.41,157.628,5.5791268134001015,,,,167.02,166.33,161.55,192.7,155.32,168.584,12.76337666920474,,,,160.77,159.37,162.63,172.53,169.69,164.998,5.175010724626565,,,,172.89,164.61,165.82,170.79,180.88,170.998,5.811971782450423,,,,167.75,162.46,170.86,161.25,171.64,166.792,4.253221837619099,,,,182.88,176.75,178.77,178.79,188.14,181.06599999999997,4.059845317250394,,,,165.38,168.53,165.86,170.74,196.06,173.314,11.536057558802312,,,,300.73,217.12,222.7,529.69,317.56,126.85523146484738,,,
6,0.5111111111111111,177.59,208.95,170.51,164.61,165.08,177.348,16.48189115362675,,,,162.42,153.12,153.75,153.9,166.52,157.94199999999998,5.4917552749553575,,,,167.51,166.21,161.74,193.34,155.58,168.87600000000003,12.92413958451393,,,,160.98,159.53,162.97,172.56,169.68,165.144,5.082411238772403,,,,172.66,165.13,166.33,170.79,181.16,171.214,5.693191020859916,,,,168.31,162.34,171.0,161.65,171.86,167.03199999999998,4.281791213966418,,,,183.3,176.9,178.98,179.02,188.32,181.304,4.079733324618164,,,,165.64,168.42,166.61,170.99,196.46,173.624,11.562377956112664,,,,300.18,223.7,227.62,441.82,298.33,88.26429572596159,,,
7,0.5944444444444444,178.38,209.53,172.57,164.99,165.88,178.27,16.368018817193487,,,,162.88,153.77,154.16,153.81,166.85,158.29399999999998,5.511793174639262,,,,167.7,166.92,161.97,193.52,155.95,169.212,12.858813942195454,,,,161.31,159.74,163.07,173.01,170.55,165.536,5.263738595333166,,,,173.13,165.68,166.68,171.66,181.94,171.81799999999998,5.801297785840679,,,,168.41,162.6,171.36,162.01,172.19,167.314,4.282544103684169,,,,183.42,177.04,179.08,179.2,188.55,181.458,4.108967753584839,,,,165.76,169.02,166.53,171.28,196.98,173.914,11.69564636948296,,,,301.43,221.48,226.13,439.93,297.2425,88.28108783170946,,,
8,0.6777777777777777,178.98,209.87,172.89,165.16,166.07,178.594,16.420692555431398,,,,163.53,154.04,154.48,154.75,167.16,158.79199999999997,5.476945864256833,,,,168.29,167.2,162.66,193.64,156.39,169.636,12.712662349012497,,,,161.97,160.24,163.57,173.26,170.63,165.934,5.088145438172925,,,,173.81,165.83,166.91,171.71,181.94,172.04000000000002,5.764248433230473,,,,168.68,163.07,171.77,161.78,172.39,167.53799999999998,4.3788920973232495,,,,183.44,177.24,179.23,179.17,188.29,181.474,3.9646871251083584,,,,166.45,169.74,166.75,171.94,197.35,174.446,11.629136855330234,,,,219.42,221.97,231.05,439.69,278.0325,93.43303975976592,,,
9,0.7613888888888889,179.27,210.35,173.65,165.78,166.36,179.082,16.407451234119204,,,,163.64,154.25,154.62,154.89,167.61,159.002,5.555190005751381,,,,168.65,167.23,162.74,193.98,156.54,169.828,12.792709486265993,,,,162.12,160.63,163.69,173.53,170.53,166.1,5.027906124819755,,,,174.22,166.31,167.16,171.99,182.42,172.42,5.803871121932323,,,,169.0,163.3,171.55,162.45,172.73,167.80599999999998,4.211406415913809,,,,182.97,177.03,178.98,178.86,188.48,181.264,4.096430641424307,,,,166.21,169.46,167.01,171.84,197.72,174.448,11.802171664570889,,,,220.26,229.64,232.61,439.59,280.525,91.94927256373482,,,
